year,month,resNm,ForNum,NatNum
2012,11,트릭아이미술관,13172,6319
2012,11,헌릉ㆍ인릉,139,2561
2012,11,롯데월드,40071,562680
2012,12,창덕궁,27814,28061
2012,12,운현궁,546,5978
2012,12,경복궁,105370,133012
2012,12,창경궁,1451,15722
2012,12,종묘,8817,8068
2012,12,국립중앙박물관,13033,227077
2012,12,서울역사박물관,1138,78179
2012,12,덕수궁,11151,44855
2012,12,서울시립미술관 본관,0,213467
2012,12,태릉 ·  강릉 · 조선왕릉전시관,15,1252
2012,12,서대문형무소역사관,6625,14090
2012,12,서대문자연사박물관,0,18881
2012,12,트릭아이미술관,24492,9167
2012,12,헌릉ㆍ인릉,62,860
2012,12,롯데월드,66868,670056
2013,01,창덕궁,22253,30490
2013,01,경복궁,82184,105724
2013,01,창경궁,1320,17562
2013,01,종묘,7579,6996
2013,01,국립중앙박물관,11276,233169
2013,01,덕수궁,7555,46980
2013,01,태릉 ·  강릉 · 조선왕릉전시관,12,1290
2013,01,서대문형무소역사관,0,14838
2013,01,서대문자연사박물관,0,24092
2013,01,트릭아이미술관,20800,17191
2013,01,헌릉ㆍ인릉,64,813
2013,01,선릉·정릉,1453,9132
2013,02,창덕궁,24859,36905
2013,02,경복궁,92997,140253
2013,02,창경궁,1350,20990
2013,02,종묘,8508,7747
2013,02,국립중앙박물관,8571,192802
2013,02,덕수궁,11506,46825
2013,02,태릉 ·  강릉 · 조선왕릉전시관,12,1494
2013,02,서대문형무소역사관,0,9821
2013,02,서대문자연사박물관,0,13630
2013,02,트릭아이미술관,23813,17144
2013,02,헌릉ㆍ인릉,68,1178
2013,02,선릉·정릉,1592,9088
2013,03,창덕궁,43988,54054
2013,03,경복궁,119793,179912
2013,03,창경궁,3100,36389
2013,03,종묘,15635,13138
2013,03,국립중앙박물관,10418,196436
2013,03,덕수궁,12102,77718
2013,03,태릉 ·  강릉 · 조선왕릉전시관,25,4849
2013,03,서대문형무소역사관,0,24100
2013,03,서대문자연사박물관,0,18866
2013,03,트릭아이미술관,27340,9114
2013,03,헌릉ㆍ인릉,133,3030
2013,03,선릉·정릉,2463,24267
2013,04,창덕궁,40807,101508
2013,04,경복궁,130082,276043
2013,04,창경궁,2902,62810
2013,04,종묘,10915,15444
2013,04,국립중앙박물관,10762,226614
2013,04,덕수궁,12512,96402
2013,04,태릉 ·  강릉 · 조선왕릉전시관,53,2995
2013,04,서대문형무소역사관,4163,60970
2013,04,서대문자연사박물관,0,26787
2013,04,트릭아이미술관,28487,5900
2013,04,헌릉ㆍ인릉,95,3146
2013,04,선릉·정릉,3124,35449
2013,05,창덕궁,99693,265795
2013,05,경복궁,82579,522279
2013,05,창경궁,2104,119635
2013,05,종묘,10878,53760
2013,05,국립중앙박물관,12071,296370
2013,05,덕수궁,10535,103001
2013,05,태릉 ·  강릉 · 조선왕릉전시관,94,6618
2013,05,서대문형무소역사관,5164,80636
2013,05,서대문자연사박물관,0,21395
2013,05,트릭아이미술관,18537,10831
2013,05,헌릉ㆍ인릉,109,5967
2013,05,선릉·정릉,2771,47665
2013,06,창덕궁,37541,83137
2013,06,경복궁,115003,208081
2013,06,창경궁,1881,50889
2013,06,종묘,8388,12628
2013,06,국립중앙박물관,13513,183498
2013,06,덕수궁,10140,63520
2013,06,태릉 ·  강릉 · 조선왕릉전시관,25,4789
2013,06,서대문형무소역사관,3698,77297
2013,06,서대문자연사박물관,0,32152
2013,06,트릭아이미술관,22324,9647
2013,06,헌릉ㆍ인릉,64,4424
2013,06,선릉·정릉,2088,33987
2013,07,창덕궁,31461,48657
2013,07,경복궁,162364,203073
2013,07,창경궁,1671,24995
2013,07,종묘,8691,9167
2013,07,국립중앙박물관,17016,238909
2013,07,덕수궁,13544,48941
2013,07,태릉 ·  강릉 · 조선왕릉전시관,9,1568
2013,07,서대문형무소역사관,5289,31750
2013,07,서대문자연사박물관,0,31296
2013,07,트릭아이미술관,24952,19650
2013,07,헌릉ㆍ인릉,91,1602
2013,07,선릉·정릉,1708,19108
2013,08,창덕궁,40040,68571
2013,08,경복궁,205693,255664
2013,08,창경궁,2999,33110
2013,08,종묘,11619,17067
2013,08,국립중앙박물관,15595,365305
2013,08,덕수궁,12830,65233
2013,08,태릉 ·  강릉 · 조선왕릉전시관,24,2532
2013,08,서대문형무소역사관,8146,89168
2013,08,서대문자연사박물관,0,48459
2013,08,트릭아이미술관,29694,50528
2013,08,헌릉ㆍ인릉,170,2843
2013,08,선릉·정릉,2051,21900
2013,09,창덕궁,39392,97864
2013,09,경복궁,144685,319869
2013,09,창경궁,2227,56914
2013,09,종묘,11689,20382
2013,09,국립중앙박물관,13225,226526
2013,09,덕수궁,13769,97658
2013,09,태릉 ·  강릉 · 조선왕릉전시관,30,4188
2013,09,서대문형무소역사관,6201,27942
2013,09,서대문자연사박물관,0,23766
2013,09,트릭아이미술관,24252,16189
2013,09,헌릉ㆍ인릉,66,3916
2013,09,선릉·정릉,2318,30650
2013,10,창덕궁,51382,144549
2013,10,경복궁,107719,385056
2013,10,창경궁,4441,103908
2013,10,종묘,12425,22552
2013,10,국립중앙박물관,14406,265316
2013,10,덕수궁,13137,123934
2013,10,태릉 ·  강릉 · 조선왕릉전시관,37,6163
2013,10,서대문형무소역사관,5948,72607
2013,10,서대문자연사박물관,0,24073
2013,10,트릭아이미술관,34428,9290
2013,10,헌릉ㆍ인릉,99,7139
2013,10,선릉·정릉,3325,40085
2013,11,창덕궁,39748,107904
2013,11,경복궁,101941,211840
2013,11,창경궁,3198,60978
2013,11,종묘,9353,18896
2013,11,국립중앙박물관,11066,192502
2013,11,덕수궁,13426,166366
2013,11,태릉 ·  강릉 · 조선왕릉전시관,18,2634
2013,11,서대문형무소역사관,5474,42760
2013,11,서대문자연사박물관,0,33703
2013,11,트릭아이미술관,29330,7266
2013,11,헌릉ㆍ인릉,41,3289
2013,11,선릉·정릉,3121,23575
2013,12,창덕궁,25550,38553
2013,12,경복궁,101942,145544
2013,12,창경궁,1986,20035
2013,12,종묘,6048,13896
2013,12,국립중앙박물관,9083,286992
2013,12,덕수궁,13282,99301
2013,12,태릉 ·  강릉 · 조선왕릉전시관,6,706
2013,12,서대문형무소역사관,6732,14607
2013,12,서대문자연사박물관,0,23245
2013,12,트릭아이미술관,43129,11886
2013,12,헌릉ㆍ인릉,16,1248
2013,12,선릉·정릉,1445,11890
2014,01,창덕궁,19834,48482
2014,01,경복궁,96716,169707
2014,01,창경궁,1599,21712
2014,01,종묘,5674,14419
2014,01,국립중앙박물관,7804,333749
2014,01,덕수궁,9013,111450
2014,01,태릉 ·  강릉 · 조선왕릉전시관,80,905
2014,01,서대문형무소역사관,5319,24880
